model_type,units,dropout,num_layers,bidirectional,batch_size,optimizer,learning_rate,prediction_days,future_day,scaler_type,loss,mse,mae,r2,score_final
LSTM,32,0.0,1,True,16,adam,0.01,15,1,MinMax,0.0003321899857837707,0.00023257479712266091,0.00980404973907037,0.9960128628997702,0.2602171473244775
LSTM,32,0.0,1,True,16,adam,0.01,15,1,Standard,0.004772912710905075,0.009142160341365375,0.0853417003419743,0.9908678760387621,2.483702365846428
LSTM,32,0.0,1,True,16,rmsprop,0.01,15,1,MinMax,0.00038175031659193337,0.00025215258976406,0.009573524160773856,0.9956772317636934,0.2562663687373229
LSTM,32,0.0,1,True,16,rmsprop,0.01,15,1,Standard,0.0048641725443303585,0.007658432087785699,0.07620634827169312,0.9923499754365569,2.22013632873609
LSTM,32,0.0,1,True,16,nadam,0.01,15,1,MinMax,0.0003788610629271716,0.0003665909214126576,0.011425473242765409,0.9937153626211659,0.3058442900223395
LSTM,32,0.0,1,True,16,nadam,0.01,15,1,Standard,0.004385207314044237,0.00877072501911481,0.08176439721021453,0.9912389035945826,2.3751985126856936
LSTM,64,0.0,1,True,16,adam,0.01,15,1,MinMax,0.0003634102176874876,0.0002499789623839668,0.011394415573506322,0.9957144952611852,0.30126649502414815
LSTM,64,0.0,1,True,16,adam,0.01,15,1,Standard,0.0041155386716127396,0.005737713903572667,0.06480550497918465,0.9942685850318703,1.867901792601284
LSTM,64,0.0,1,True,16,rmsprop,0.01,15,1,MinMax,0.00034836865961551666,0.00025128038552850993,0.008759390627450882,0.9956921843635003,0.23505294572399762
LSTM,64,0.0,1,True,16,rmsprop,0.01,15,1,Standard,0.0047628921456635,0.004702698084364905,0.05477085940004713,0.9953024645975218,1.6070856246025078
LSTM,64,0.0,1,True,16,nadam,0.01,15,1,MinMax,0.00034558153129182756,0.00019425517826721122,0.008236439035356617,0.99666979381359,0.22023944516949387
LSTM,64,0.0,1,True,16,nadam,0.01,15,1,Standard,0.004426661413162947,0.0074222158054057675,0.07300570042535942,0.9925859323976918,2.1232179579987807
